比赛时间,比赛ID,联赛名称,主队,客队,主队（让球）vs客队,半场比分,全场比分,总进球数,胜赔率,平赔率,负赔率
2020/1/12,周六028,国王杯,马尔韦利亚,费拉拉SPAL,佛罗伦萨（-1）vs费拉拉SPAL,'0:0,'1:0,1,1.38,3.95,6
2020/1/12,周六027,意甲,国际米兰,沃特福德,伯恩茅斯（-1）vs沃特福德,'0:1,'0:3,3,2.4,3.1,2.48
2020/1/12,周六026,法甲,梅斯,阿尔梅勒城,前进之鹰（-1）vs阿尔梅勒城,'0:0,'1:1,2,1.5,3.95,4.45
2020/1/12,周六025,法甲,尼姆,斯旺西,加的夫城（-1）vs斯旺西,'0:0,'0:0,0,2.22,3.16,2.65
2020/1/12,周六024,法甲,昂热,萨索洛,乌迪内斯（-1）vs萨索洛,'1:0,'3:0,3,1.94,3.25,3.12
2020/1/12,周六023,葡超,博阿维斯塔,马斯特里赫特,罗达JC（-1）vs马斯特里赫特,'0:0,'2:2,4,1.81,3.5,3.28
2020/1/12,周六022,英超,托特纳姆热刺,墨尔本胜利,中央海岸水手（+1）vs墨尔本胜利,'1:1,'3:2,5,3.05,3.52,1.88
2020/1/12,周六021,意甲,拉齐奥,巴利亚多利德,马尔韦利亚（+1）vs巴利亚多利德,'1:0,'1:1,2,5.55,3.65,1.45
2020/1/12,周六020,法甲,波尔多,亚特兰大,国际米兰（-1）vs亚特兰大,'1:0,'1:1,2,1.91,3.5,3
2020/1/13,周一005,亚奥赛,约旦U23,斯特拉斯堡,梅斯（+1）vs斯特拉斯堡,'0:0,'1:0,1,2.64,2.8,2.45
2020/1/13,周日021,西超杯,皇家马德里,兰斯,尼姆（+1）vs兰斯,'1:0,'2:0,2,2.87,2.8,2.28
2020/1/13,周日016,葡超,布拉加,尼斯,昂热（-1）vs尼斯,'1:1,'1:1,2,1.73,3.15,4.05
2020/1/13,周日015,法甲,巴黎圣日尔曼,法马利康,博阿维斯塔（-1）vs法马利康,'0:0,'0:1,1,2.12,3.05,2.9
2020/1/13,周日014,意甲,罗马,利物浦,托特纳姆热刺（+1）vs利物浦,'0:1,'0:1,1,4.6,3.85,1.5
2020/1/13,周日013,葡超,马里迪莫,那不勒斯,拉齐奥（-1）vs那不勒斯,'0:0,'1:0,1,1.87,3.5,3.1
2020/1/13,周日012,英超,阿斯顿维拉,里昂,波尔多（+1）vs里昂,'1:0,'1:2,3,3.05,2.95,2.1
2020/1/13,周日011,法甲,第戎,越南U23,约旦U23（-1）vs越南U23,'0:0,'0:0,0,3.05,2.85,2.15
2020/1/14,周二011,亚奥赛,泰国U23,马德里竞技,皇家马德里（-1）vs马德里竞技,'0:0,'0:0,0,2,3.1,3.11
2020/1/14,周二010,亚奥赛,澳大利亚U23,通德拉,布拉加（-2）vs通德拉,'0:1,'2:1,3,1.17,5,11.25
2020/1/14,周二001,意大利杯,那不勒斯,摩纳哥,巴黎圣日尔曼（-2）vs摩纳哥,'3:2,'3:3,6,1.07,7.5,13
2020/1/14,周一004,法乙,洛里昂,尤文图斯,罗马（+1）vs尤文图斯,'0:2,'1:2,3,3.05,3.5,1.89
2020/1/14,周一003,意甲,帕尔马,吉马良斯,马里迪莫（+1）vs吉马良斯,'0:0,'0:0,0,4.35,3.3,1.64
2020/1/14,周一001,荷乙,阿尔克马尔青年队,里尔,第戎（+1）vs里尔,'0:0,'1:0,1,4.2,3.25,1.67
2020/1/15,周三010,亚奥赛,卡塔尔亚足,伊拉克亚足,泰国U23（+1）vs伊拉克亚足,'1:0,'1:1,2,2.6,2.95,2.38
2020/1/15,周三009,亚奥赛,乌兹别克斯坦亚足,巴林亚足,澳大利亚U23（-1）vs巴林亚足,'1:1,'1:1,2,1.18,5.3,9.2
2020/1/15,周三001,意大利杯,佛罗伦萨,卡昂,洛里昂（-1）vs卡昂,'1:1,'2:1,3,1.49,3.4,5.6
2020/1/15,周二009,英足总杯,托特纳姆热刺,莱切,帕尔马（-1）vs莱切,'0:0,'2:0,2,1.5,3.8,4.65
2020/1/15,周二008,意大利杯,国际米兰,阿贾克斯青年队,埃因霍温青年队（+1）vs阿贾克斯青年队,'0:0,'0:0,0,5,4.7,1.37
2020/1/15,周二007,英足总杯,特兰米尔,奥斯,阿尔克马尔青年队（-1）vs奥斯,'1:0,'3:1,4,1.64,3.8,3.7
2020/1/15,周二006,英足总杯,什鲁斯伯里,日本亚足,卡塔尔亚足（+1）vs日本亚足,'0:0,'1:1,2,2.52,3.4,2.22
2020/1/15,周二005,英足总杯,纽卡斯尔联,韩国亚足,乌兹别克斯坦亚足（-1）vs韩国亚足,'1:1,'1:2,3,2.86,2.25,2.86
2020/1/15,周二004,英足总杯,考文垂,伊朗亚足,中国亚足（+1）vs伊朗亚足,'0:0,'0:1,1,8.5,4.85,1.22
2020/1/15,周二003,英足总杯,布莱克浦,亚特兰大,佛罗伦萨（+1）vs亚特兰大,'1:0,'2:1,3,3.6,3.45,1.74
2020/1/15,周二002,意大利杯,拉齐奥,米德尔斯堡,托特纳姆热刺（-2）vs米德尔斯堡,'2:0,'2:1,3,1.14,5.75,11
2020/1/15,周三010,亚奥赛,卡塔尔亚足,首尔FC,蔚山现代（-1）vs首尔FC,'1:1,'3:2,5,1.51,3.65,4.7
2020/1/15,周三009,亚奥赛,乌兹别克斯坦亚足,广岛三箭,横滨FC（+1）vs广岛三箭,'0:3,'0:3,3,4.55,3.8,1.5
2020/1/15,周三008,亚奥赛,中国亚足,大分三神,神户胜利船（-1）vs大分三神,'1:0,'1:0,1,1.61,3.55,4.05
2020/1/15,周三001,意大利杯,佛罗伦萨,仙台七夕,德岛漩涡（-1）vs仙台七夕,'1:0,'1:0,1,1.68,3.57,3.65
2020/1/15,周二009,英足总杯,托特纳姆热刺,名古屋鲸八,湘南海洋（+1）vs名古屋鲸八,'0:0,'0:0,0,4.1,3,1.75
2020/1/15,周二008,意大利杯,国际米兰,柏太阳神,鹿岛鹿角（-1）vs柏太阳神,'0:0,'2:1,3,1.62,3.6,3.95
2020/1/15,周二007,英足总杯,特兰米尔,札幌冈萨多,东京FC（-1）vs札幌冈萨多,'0:0,'2:1,3,2.28,3.45,2.38
2020/1/15,周二006,英足总杯,什鲁斯伯里,利物浦,皇家马德里（+1）vs利物浦,'2:0,'3:1,4,2.56,3.15,2.27
2020/1/15,周二005,英足总杯,纽卡斯尔联,哈德斯菲尔德,诺维奇（-1）vs哈德斯菲尔德,'5:0,'7:0,7,1.3,4.3,6.75
2020/1/15,周二004,英足总杯,考文垂,伯明翰,布伦特福德（-1）vs伯明翰,'0:0,'0:0,0,1.45,3.6,5.5
2020/1/15,周二003,英足总杯,布莱克浦,毕尔巴鄂竞技,皇家社会（-1）vs毕尔巴鄂竞技,'0:0,'1:1,2,1.92,3,3.4
2020/1/15,周二002,意大利杯,拉齐奥,巴黎圣日尔曼,拜仁慕尼黑（-1）vs巴黎圣日尔曼,'1:2,'2:3,5,1.76,3.65,3.25
2020/1/16,周三007,法甲,摩纳哥,卡利亚里,国际米兰（-1）vs卡利亚里,'2:0,'4:1,5,1.21,5.15,8.05
2020/1/16,周三005,英足总杯,曼彻斯特联,布里斯托尔城,什鲁斯伯里（+1）vs布里斯托尔城,'0:0,'1:0,1,2.77,3,2.23
2020/1/16,周三004,法甲,亚眠,罗奇代尔,纽卡斯尔联（-1）vs罗奇代尔,'3:0,'4:1,5,1.14,5.7,11
